graph,size_parameter,n_nodes,n_edges,k,algorithm,seeds,selection_estimated_spread,estimated_spread,quality_ratio_to_greedy,runtime_seconds,spread_evaluations,transmitted_candidates
erdos_renyi,40,40,152,5,random,23 25 34 39 38,13.5,16.5,0.9166666666666666,0.00010509999992791563,1,0
erdos_renyi,40,40,152,5,degree,33 3 15 17 9,20.5,18.0,1.0,0.0001514999894425273,1,0
erdos_renyi,40,40,152,5,pagerank,25 3 15 33 24,17.5,19.5,1.0833333333333333,0.00018540000019129366,1,0
erdos_renyi,40,40,152,5,greedy,10 39 29 6 33,22.0,18.0,1.0,0.017666300002019852,191,0
erdos_renyi,40,40,152,5,celf,9 35 32 33 3,15.5,19.0,1.0555555555555556,0.008099499988020398,89,0
erdos_renyi,40,40,152,5,distributed_m2_q1k,33 3 9 13 4,19.0,20.5,1.1388888888888888,0.10065069999836851,223,10
erdos_renyi,40,40,152,5,distributed_m2_q2k,0 14 33 19 17,21.9,22.5,1.25,0.21568399999523535,403,20
erdos_renyi,40,40,152,5,distributed_m2_q5k,4 15 9 23 13,20.4,18.0,1.0,0.39836409999406897,613,40
erdos_renyi,40,40,152,5,distributed_m4_q1k,9 14 19 4 39,20.1,19.5,1.0833333333333333,0.11325290000240784,255,20
erdos_renyi,40,40,152,5,distributed_m4_q2k,9 0 15 2 13,20.4,22.0,1.2222222222222223,0.19611849999637343,415,40
erdos_renyi,40,40,152,5,distributed_m4_q5k,4 33 38 3 0,21.6,21.5,1.1944444444444444,0.18749820000084583,415,40
erdos_renyi,40,40,152,5,distributed_m8_q1k,17 4 7 29 10,20.7,19.0,1.0555555555555556,0.13726849999511614,319,40
erdos_renyi,40,40,152,5,distributed_m8_q2k,17 14 29 7 12,22.0,16.5,0.9166666666666666,0.12474780000047758,319,40
erdos_renyi,40,40,152,5,distributed_m8_q5k,39 15 10 8 25,21.3,20.0,1.1111111111111112,0.13238360000832472,319,40
erdos_renyi,70,70,310,6,random,48 44 55 4 45 3,11.5,16.0,1.032258064516129,0.00016769999638199806,1,0
erdos_renyi,70,70,310,6,degree,35 36 29 58 18 13,32.5,29.0,1.8709677419354838,0.00025379999715369195,1,0
erdos_renyi,70,70,310,6,pagerank,47 2 58 23 52 29,21.0,21.0,1.3548387096774193,0.00017810000281315297,1,0
erdos_renyi,70,70,310,6,greedy,51 32 4 34 25 42,35.0,15.5,1.0,0.061520099989138544,406,0
erdos_renyi,70,70,310,6,celf,21 0 4 16 5 46,17.5,13.5,0.8709677419354839,0.0344316999980947,145,0
erdos_renyi,70,70,310,6,distributed_m2_q1k,18 50 55 37 2 25,25.6,18.5,1.1935483870967742,0.3206225000030827,450,12
erdos_renyi,70,70,310,6,distributed_m2_q2k,57 65 35 41 24 10,30.1,15.0,0.967741935483871,0.7028080000018235,840,24
erdos_renyi,70,70,310,6,distributed_m2_q5k,38 53 45 60 39 37,35.3,25.5,1.6451612903225807,1.7982702999870526,1578,60
erdos_renyi,70,70,310,6,distributed_m4_q1k,35 57 60 39 50 27,28.0,27.0,1.7419354838709677,0.3345669000118505,494,24
erdos_renyi,70,70,310,6,distributed_m4_q2k,35 16 8 19 62 29,26.9,15.5,1.0,0.73553130000073,854,48
erdos_renyi,70,70,310,6,distributed_m4_q5k,15 0 59 2 7 49,25.5,16.0,1.032258064516129,0.8649799000122584,1058,70
erdos_renyi,70,70,310,6,distributed_m8_q1k,53 66 20 35 32 44,27.6,17.0,1.096774193548387,0.34702719999768306,582,48
erdos_renyi,70,70,310,6,distributed_m8_q2k,30 29 17 52 58 41,29.2,19.0,1.2258064516129032,0.4728372999961721,756,70
erdos_renyi,70,70,310,6,distributed_m8_q5k,32 35 58 23 30 41,30.7,26.5,1.7096774193548387,0.5476023000082932,756,70
barabasi_albert,40,40,152,5,random,0 14 10 18 28,21.0,18.5,1.088235294117647,0.0001365000061923638,1,0
barabasi_albert,40,40,152,5,degree,2 5 8 0 1,26.0,18.0,1.0588235294117647,0.00016369999502785504,1,0
